Knives Out,,7.3
Free Guy,,7.1
The A-Team,,7.0
Across the Spiderverse,Spiderverse,6.8
Jungle Cruise,,6.7
Peppermint,,6.7
Infinity War,Marvel,6.7
Endgame,Marvel,6.7
Into the Spiderverse,Spiderverse,6.7
The Martian,,6.6
Bullet Train,,6.6
Interstellar,,6.5
Inception,,6.5
Sherlock Holmes,Sherlock Holmes,6.4
Pirates of the Caribbean: Curse of the Black Pearl,Pirates of the Caribbean,6.4
Dear Evan Hansen,,6.4
The League of Extraordinary Gentlemen,,6.4
Day of the Doctor,,6.4
The Prestige,,6.3
Venom,,6.3
Avengers,Marvel,6.3
Winter Soldier,Marvel,6.3
Pirates of the Caribbean: At World's End,Pirates of the Caribbean,6.2
Fast Five,Fast and Furious,6.2
Guardians of the Galaxy,Marvel,6.2
Captain America: Civil War,Marvel,6.2
Avengers: Age of Ultron,Marvel,6.2
Birds of Prey,,6.2
Tenet,,6.1
Detective Pikachu,,6.1
Sherlock Holmes: a Game of Shadows,Sherlock Holmes,6.1
In The Heights,,6.1
Captain America,Marvel,6.0
Ant-Man and the Wasp,Marvel,6.0
Doctor Strange,Marvel,6.0
Batman Under the Red Hood,,6.0
The Death and Return of Superman,,6.0
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean,5.9
Escape Room,Escape Room,5.9
Space Jam,Space Jam,5.9
Now You See Me 2,Now You See Me,5.9
Iron Man 3,Marvel,5.9
Black Widow,Marvel,5.9
Batman Hush,,5.9
Wonder Woman,DCLA,5.9
Suicide Squad,DCLA,5.9
The Dark Knight,The Dark Knight,5.9
The Lego Movie,Lego Movie,5.9
Spiderman: No Way Home,Marvel,5.9
The Three Musketeers,,5.9
Transformers,Transformers,5.9
Now You See Me,Now You See Me,5.8
Escape Room: Tournament of Champions,Escape Room,5.8
Iron Man,Marvel,5.8
Suicide Squad Hell to Pay,,5.8
Justice League Dark,,5.8
Batman Begins,The Dark Knight,5.8
Assault on Arkham,,5.8
Guardians of the Galaxy 3,Marvel,5.8
The Muppets,Muppets,5.7
